date,portfolio_value,benchmark_value,marked_open_risk_percent,capital_invested_percent
2015-09-03,114639.25,755392.86,0.0,0.0
2015-09-04,114639.25,746493.53,0.0,0.0
2015-09-08,114639.25,767513.19,0.0,0.0
2015-09-09,114639.25,755683.15,0.0,0.0
2015-09-10,114639.25,769540.34,0.0,0.0
2015-09-11,114639.25,778247.46,0.0,0.0
2015-09-14,114639.25,782374.46,0.0,0.0
2015-09-15,114639.25,790820.94,0.0,0.0
2015-09-16,114639.25,792481.67,0.0,0.0
2015-09-17,114639.25,783157.83,0.0,0.0
2015-09-18,114639.25,777295.67,0.0,0.0
2015-09-21,114639.25,787222.33,0.0,0.0
2015-09-22,114639.25,773645.89,0.0,0.0
2015-09-23,114639.25,778002.65,0.0,0.0
2015-09-24,114639.25,782141.18,0.0,0.0
2015-09-25,114639.25,777927.26,0.0,0.0
2015-09-28,114639.25,761673.26,0.0,0.0
2015-09-29,114639.25,747194.83,0.0,0.0
2015-09-30,114639.25,759922.35,0.0,0.0
2015-10-01,114424.9,756547.24,0.5009,8.76
2015-10-02,114686.11,766027.97,0.4998,8.97
2015-10-05,114943.18,773602.36,0.4987,9.17
2015-10-06,115080.01,776412.72,0.4981,9.28
2015-10-07,115191.96,775020.0,0.4976,9.37
2015-10-08,115254.15,769659.39,0.4973,9.41
2015-10-09,115212.69,782094.85,0.4975,9.38
2015-10-12,115328.78,781693.11,0.497,9.47
2015-10-13,115349.51,783429.07,0.4969,9.49
2015-10-14,115672.59,778092.01,0.9936,19.95
2015-10-15,115919.13,789445.4,0.9914,20.12
2015-10-16,116137.1,787746.0,0.9896,20.27
2015-10-19,116196.23,791914.65,0.9891,20.31
2015-10-20,115835.51,796578.47,0.9922,20.07
2015-10-21,115544.79,793458.11,0.9947,19.87
2015-10-22,116116.39,807192.04,0.9898,20.26
2015-10-23,116853.94,832970.55,0.9835,20.76
2015-10-26,117003.42,818103.06,0.9823,20.86
2015-10-27,117024.45,815207.69,0.9821,20.88
2015-10-28,117190.54,838349.42,0.9807,20.99
2015-10-29,116916.86,842856.82,0.983,20.81
2015-10-30,117074.26,838177.31,0.9817,20.91
2015-11-02,117389.63,849546.83,0.979,21.12
2015-11-03,117325.33,855704.24,0.9796,21.08
2015-11-04,117242.41,853164.6,0.9803,21.03
2015-11-05,117202.19,848437.08,0.9806,21.0
2015-11-06,118810.39,859033.0,0.9673,22.07
2015-11-09,118634.53,854219.0,0.9687,21.95
2015-11-10,118445.95,836501.72,0.9703,21.83
2015-11-11,118442.15,833989.22,0.9703,21.83
2015-11-12,118246.12,829225.87,0.9719,21.7
2015-11-13,117713.41,808004.71,0.9763,21.34
2015-11-16,118140.72,821024.08,0.9728,21.63
2015-11-17,118064.13,817991.54,0.9734,21.58
2015-11-18,118567.36,839912.51,0.9693,21.91
2015-11-19,118603.47,846730.18,0.969,21.93
2015-11-20,119009.7,853596.97,0.9657,22.2
2015-11-23,118809.65,845277.58,0.9673,22.07
2015-11-24,118791.35,849515.13,0.9675,22.06
2015-11-25,118768.38,845625.6,0.9677,22.04
2015-11-27,118922.93,845969.0,0.9664,22.14
2015-11-30,118902.44,846887.24,0.9666,22.13
2015-12-01,119690.72,850296.89,0.9602,22.64
2015-12-02,119484.6,843083.37,0.9619,22.51
2015-12-03,119289.11,834757.21,0.9634,22.38
